과목,문항,유형,비고
과목3,82,QUOTE_NOTFOUND,
과목3,84,MISCITE_from교재,
과목3,88,MISCITE_from교재,
과목3,90,MISCITE_from교재,
과목3,95,MISCITE_from교재,
과목3,98,MISCITE_from교재,
과목3,100,MISCITE_from교재,
과목3,102,QUOTE_NOTFOUND,
과목3,103,MISCITE_from교재,
과목3,108,MISCITE_from교재,
과목3,110,MISCITE_from교재,
과목3,117,MISCITE_from교재,
과목3,129,MISCITE_from교재,
과목3,136,MISCITE_from교재,
과목3,147,MISCITE_from교재,
과목3,150,MISCITE_from교재,
과목3,158,MISCITE_from교재,
과목3,168,MISCITE_from교재,
과목3,170,MISCITE_from교재,
과목3,171,QUOTE_NOTFOUND,
과목3,175,MISCITE_from교재,
과목3,176,MISCITE_from교재,
과목3,179,QUOTE_NOTFOUND,
과목3,181,MISCITE_from교재,
과목3,183,MISCITE_from교재,
과목3,186,MISCITE_from교재,
과목3,189,MISCITE_from교재,
과목3,198,MISCITE_from교재,
과목3,199,QUOTE_NOTFOUND,
과목3,203,MISCITE_from교재,
과목3,204,MISCITE_from교재,
과목3,206,MISCITE_from교재,
과목3,208,MISCITE_from교재,
과목3,209,MISCITE_from교재,
과목3,210,MISCITE_from교재,
과목3,211,QUOTE_NOTFOUND,
과목3,213,MISCITE_from교재,
과목3,215,MISCITE_from교재,
과목3,216,MISCITE_from교재,
과목3,217,MISCITE_from교재,
과목3,219,MISCITE_from교재,
과목3,225,QUOTE_NOTFOUND,
과목3,233,QUOTE_NOTFOUND,
과목3,234,MISCITE_from교재,
과목3,241,MISCITE_from교재,
과목3,242,MISCITE_from교재,
과목4,9,QUOTE_NOTFOUND,
과목4,10,MISCITE_from교재,
과목4,12,MISCITE_from교재,
과목4,17,MISCITE_from교재,
과목4,20,MISCITE_from교재,
과목4,21,MISCITE_from교재,
과목4,28,MISCITE_from교재,
과목4,30,MISCITE_from교재,
과목4,32,MISCITE_from교재,
과목4,34,LINE_DRIFT,
과목4,41,QUOTE_NOTFOUND,
과목4,43,MISCITE_from교재,
과목4,44,MISCITE_from교재,
과목4,49,MISCITE_from교재,
과목4,52,MISCITE_from교재,
과목4,53,MISCITE_from교재,
과목4,55,MISCITE_from교재,
과목4,56,MISCITE_from교재,
과목4,60,LINE_DRIFT,
과목4,63,MISCITE_from교재,
과목4,66,NO_CITE,
과목4,69,MISCITE_from교재,
과목4,73,MISCITE_from교재,
과목4,75,MISCITE_from교재,
과목4,76,QUOTE_NOTFOUND,
과목4,79,MISCITE_from교재,
과목4,82,MISCITE_from교재,
과목4,84,MISCITE_from교재,
과목4,85,MISCITE_from교재,
과목4,87,MISCITE_from교재,
과목4,91,QUOTE_NOTFOUND,
과목4,92,QUOTE_NOTFOUND,
과목4,102,LINE_DRIFT,
과목4,106,QUOTE_NOTFOUND,
과목4,108,MISCITE_from교재,
과목4,109,MISCITE_from교재,
과목4,110,MISCITE_from교재,
과목4,111,MISCITE_from교재,
과목4,114,MISCITE_from교재,
과목4,117,MISCITE_from교재,
과목4,121,MISCITE_from교재,
과목4,125,QUOTE_NOTFOUND,
과목4,129,MISCITE_from교재,
과목4,131,QUOTE_NOTFOUND,
과목4,132,MISCITE_from교재,
과목4,133,MISCITE_from교재,
과목4,134,MISCITE_from교재,
과목4,141,MISCITE_from교재,
과목4,142,QUOTE_NOTFOUND,
과목4,146,QUOTE_NOTFOUND,
과목4,147,MISCITE_from교재,
과목4,153,MISCITE_from교재,
과목4,159,MISCITE_from교재,
과목4,161,MISCITE_from교재,
과목4,162,MISCITE_from교재,
과목4,165,MISCITE_from교재,
과목4,167,MISCITE_from교재,
과목4,168,QUOTE_NOTFOUND,
과목4,173,MISCITE_from교재,
과목4,174,MISCITE_from교재,
과목4,175,MISCITE_from교재,
과목4,177,MISCITE_from교재,
과목4,178,MISCITE_from교재,
과목4,181,MISCITE_from교재,
과목4,182,MISCITE_from교재,
과목4,184,QUOTE_NOTFOUND,
과목4,186,QUOTE_NOTFOUND,
과목4,190,MISCITE_from교재,
과목4,192,QUOTE_NOTFOUND,
과목4,193,MISCITE_from교재,
과목4,201,QUOTE_NOTFOUND,
과목4,203,QUOTE_NOTFOUND,
과목4,204,QUOTE_NOTFOUND,
과목4,207,MISCITE_from교재,
과목4,211,QUOTE_NOTFOUND,
과목4,212,LINE_DRIFT,
과목4,213,MISCITE_from교재,
과목4,214,MISCITE_from교재,
과목4,216,MISCITE_from교재,
과목4,220,MISCITE_from교재,
과목4,222,MISCITE_from교재,
과목4,223,MISCITE_from교재,
과목4,224,MISCITE_from교재,
과목4,226,MISCITE_from교재,
과목4,227,MISCITE_from교재,
과목4,229,MISCITE_from교재,
과목4,231,MISCITE_from교재,
과목4,237,MISCITE_from교재,
과목4,239,MISCITE_from교재,
과목4,244,MISCITE_from교재,
과목4,248,MISCITE_from교재,
과목4,249,QUOTE_NOTFOUND,
과목4,255,MISCITE_from교재,
과목4,256,MISCITE_from교재,
과목4,261,MISCITE_from교재,
과목4,262,MISCITE_from교재,
과목4,267,MISCITE_from교재,
과목4,270,MISCITE_from교재,
과목4,273,MISCITE_from교재,
과목4,274,MISCITE_from교재,
과목4,276,MISCITE_from교재,
과목4,277,LINE_DRIFT,
과목4,278,LINE_DRIFT,
과목4,279,LINE_DRIFT,
과목4,280,QUOTE_NOTFOUND,
과목4,281,LINE_DRIFT,
과목4,286,MISCITE_from교재,
과목4,287,MISCITE_from교재,
과목4,288,MISCITE_from교재,
과목4,289,MISCITE_from교재,
과목4,293,QUOTE_NOTFOUND,
과목4,294,MISCITE_from교재,
과목4,296,MISCITE_from교재,
과목4,297,LINE_DRIFT,
과목4,298,MISCITE_from교재,
과목4,300,QUOTE_NOTFOUND,
과목4,303,MISCITE_from교재,
과목4,304,MISCITE_from교재,
과목4,305,MISCITE_from교재,
과목4,306,MISCITE_from교재,
과목4,308,MISCITE_from교재,
과목4,309,MISCITE_from교재,
과목4,310,QUOTE_NOTFOUND,
과목4,311,MISCITE_from교재,
과목4,312,MISCITE_from교재,
과목4,315,MISCITE_from교재,
