과목,문항,인용파일,인용줄,판정,실제/추정줄,오프셋,비고,심각도
과목4,271,4과목_맞춤형화장품의이해_표준형.md,1401,EXACT,1401,0,,정상
과목4,272,4과목_맞춤형화장품의이해_표준형.md,1415,EXACT,1415,0,,정상
과목4,273,4과목_맞춤형화장품의이해_표준형.md,597,EXACT,597,0,,정상
과목4,274,4과목_맞춤형화장품의이해_표준형.md,1182,EXACT,1182,0,,정상
과목4,275,4과목_맞춤형화장품의이해_표준형.md,1200,EXACT,1200,0,,정상
과목4,276,4과목_맞춤형화장품의이해_표준형.md,1605,EXACT,1605,0,,정상
과목4,277,4과목_맞춤형화장품의이해_표준형.md,1243,SHORT_RAT,1243,,근거 짧음,정상(짧은근거/계산)
과목4,278,4과목_맞춤형화장품의이해_표준형.md,1396,EXACT,1396,0,,정상
과목4,279,4과목_맞춤형화장품의이해_표준형.md,1388,NOTFOUND_재작성,1388,,원문 미발견(요약형) ,참고(요약형근거)
과목4,280,CGMP_별표2_실시상황평가표.md,579,NOTFOUND_재작성,579,,원문 미발견(요약형) ,참고(요약형근거)
과목4,281,4과목_맞춤형화장품의이해_표준형.md,3185,EXACT,3185,0,,정상
과목4,282,4과목_맞춤형화장품의이해_표준형.md,1451,EXACT,1451,0,,정상
과목4,283,4과목_맞춤형화장품의이해_표준형.md,1184,EXACT,1184,0,,정상
과목4,284,4과목_맞춤형화장품의이해_표준형.md,1220,EXACT,1220,0,,정상
과목4,285,4과목_맞춤형화장품의이해_표준형.md,1234,EXACT,1234,0,,정상
과목4,286,4과목_맞춤형화장품의이해_표준형.md,1392,EXACT,1392,0,,정상
과목4,287,4과목_맞춤형화장품의이해_표준형.md,3509,EXACT,3509,0,,정상
과목4,288,4과목_맞춤형화장품의이해_표준형.md,4155,EXACT,4155,0,,정상
과목4,289,4과목_맞춤형화장품의이해_표준형.md,1442,EXACT,1442,0,,정상
과목4,290,4과목_맞춤형화장품의이해_표준형.md,564,EXACT,564,0,,정상
과목4,291,4과목_맞춤형화장품의이해_표준형.md,1740,EXACT,1740,0,,정상
과목4,292,4과목_맞춤형화장품의이해_표준형.md,2557,EXACT,2557,0,,정상
과목4,293,4과목_맞춤형화장품의이해_표준형.md,1680,EXACT,1680,0,,정상
과목4,294,4과목_맞춤형화장품의이해_표준형.md,3719,EXACT,3719,0,,정상
과목4,295,4과목_맞춤형화장품의이해_표준형.md,3242,EXACT,3242,0,,정상
과목4,296,4과목_맞춤형화장품의이해_표준형.md,2758,EXACT,2758,0,,정상
과목4,297,4과목_맞춤형화장품의이해_표준형.md,2415,EXACT,2415,0,,정상
과목4,298,4과목_맞춤형화장품의이해_표준형.md,611,EXACT,611,0,,정상
과목4,299,4과목_맞춤형화장품의이해_표준형.md,1146,EXACT,1146,0,,정상
과목4,300,4과목_맞춤형화장품의이해_표준형.md,1686,EXACT,1686,0,,정상
과목4,301,4과목_맞춤형화장품의이해_표준형.md,1200,EXACT,1200,0,,정상
과목4,302,4과목_맞춤형화장품의이해_표준형.md,1642,EXACT,1642,0,,정상
과목4,303,4과목_맞춤형화장품의이해_표준형.md,2956,EXACT,2956,0,,정상
과목4,304,4과목_맞춤형화장품의이해_표준형.md,1698,EXACT,1698,0,,정상
과목4,305,4과목_맞춤형화장품의이해_표준형.md,1182,EXACT,1182,0,,정상
과목4,306,4과목_맞춤형화장품의이해_표준형.md,597,EXACT,597,0,,정상
과목4,307,4과목_맞춤형화장품의이해_표준형.md,2046,EXACT,2046,0,,정상
과목4,308,4과목_맞춤형화장품의이해_표준형.md,633,EXACT,633,0,,정상
과목4,309,4과목_맞춤형화장품의이해_표준형.md,1681,EXACT,1681,0,,정상
과목4,310,4과목_맞춤형화장품의이해_표준형.md,1696,EXACT,1696,0,,정상
과목4,311,4과목_맞춤형화장품의이해_표준형.md,2822,EXACT,2822,0,,정상
과목4,312,4과목_맞춤형화장품의이해_표준형.md,3254,EXACT,3254,0,,정상
과목4,313,4과목_맞춤형화장품의이해_표준형.md,1184,EXACT,1184,0,,정상
과목4,314,4과목_맞춤형화장품의이해_표준형.md,1345,EXACT,1345,0,,정상
과목4,315,4과목_맞춤형화장품의이해_표준형.md,2822,EXACT,2822,0,,정상
과목4,316,4과목_맞춤형화장품의이해_표준형.md,889,EXACT,889,0,,정상
과목4,317,4과목_맞춤형화장품의이해_표준형.md,3242,EXACT,3242,0,,정상
과목4,318,4과목_맞춤형화장품의이해_표준형.md,2070,EXACT,2070,0,,정상
과목4,319,4과목_맞춤형화장품의이해_표준형.md,1145,EXACT,1145,0,,정상
과목4,320,4과목_맞춤형화장품의이해_표준형.md,1357,EXACT,1357,0,,정상
과목4,321,4과목_맞춤형화장품의이해_표준형.md,2822,EXACT,2822,0,,정상
과목4,322,4과목_맞춤형화장품의이해_표준형.md,2538,EXACT,2538,0,,정상
과목4,323,4과목_맞춤형화장품의이해_표준형.md,1689,EXACT,1689,0,,정상
과목4,324,4과목_맞춤형화장품의이해_표준형.md,1345,EXACT,1345,0,,정상
