과목,문항,인용파일,인용줄,판정,실제/추정줄,오프셋,비고,심각도
과목2,6,2과목_제조및품질관리_표준형.md,2401,EXACT,2401,0,,정상
과목2,7,2과목_제조및품질관리_표준형.md,3137,EXACT,3137,0,,정상
과목2,8,2과목_제조및품질관리_표준형.md,3020,EXACT,3020,0,,정상
과목2,9,2과목_제조및품질관리_표준형.md,3388,EXACT,3388,0,,정상
과목2,10,우수화장품 제조 및 품질관리기준(식품의약품안전처고시)(제2024-46호)(20240822).md,447,EXACT,447,0,,정상
과목2,11,2과목_제조및품질관리_표준형.md,862,EXACT,862,0,,정상
과목2,12,2과목_제조및품질관리_표준형.md,824,EXACT,824,0,,정상
과목2,13,2과목_제조및품질관리_표준형.md,3689,EXACT,3689,0,,정상
과목2,14,2과목_제조및품질관리_표준형.md,4893,WRONGLINE_같은파일,4897,4,올바른 줄=L4897 ,경미(헤더offset)
과목2,15,2과목_제조및품질관리_표준형.md,3475,EXACT,3475,0,,정상
